2026-04-07 02:44:37 | INFO | bot | Скринер запущен. Получение символов Phemex...
2026-04-07 02:48:18 | DEBUG | bot | [BSBUSDT] Фандинг 2 (Diff) триггер: diff=0.101899%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [DOODUSDT] Фандинг 2 (Diff) триггер: diff=0.051577000000000005%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [DRIFTUSDT] Фандинг 2 (Diff) триггер: diff=2.0326649999999997%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [FETUSDT] Фандинг 2 (Diff) триггер: diff=0.058809%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [FFUSDT] Фандинг 2 (Diff) триггер: diff=0.054203%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [GUAUSDT] Фандинг 2 (Diff) триггер: diff=0.19520200000000001%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [HOMEUSDT] Фандинг 2 (Diff) триггер: diff=0.087007%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [ILVUSDT] Фандинг 2 (Diff) триггер: diff=0.053126%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [KATUSDT] Фандинг 2 (Diff) триггер: diff=0.107621%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [MOODENGUSDT] Фандинг 2 (Diff) триггер: diff=0.051802%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [NILUSDT] Фандинг 2 (Diff) триггер: diff=0.12843100000000002%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [PAYPUSDT] Фандинг 2 (Diff) триггер: diff=0.221315%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [REDUSDT] Фандинг 2 (Diff) триггер: diff=0.2853580000000001%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [RPLUSDT] Фандинг 2 (Diff) триггер: diff=0.051908%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [SAHARAUSDT] Фандинг 2 (Diff) триггер: diff=0.09297100000000003%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [SNXUSDT] Фандинг 2 (Diff) триггер: diff=0.06335400000000001%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [SUPERUSDT] Фандинг 2 (Diff) триггер: diff=0.10923599999999997%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [TRUUSDT] Фандинг 2 (Diff) триггер: diff=0.07518599999999999%, min_time_left=701.8s
2026-04-07 02:48:18 | DEBUG | bot | [ZETAUSDT] Фандинг 2 (Diff) триггер: diff=0.068534%, min_time_left=701.8s
2026-04-07 02:48:18 | INFO | bot | ⚖️ [Фандинг 2] Diff-Блок! Под запретом 24 монет: KATUSDT, REDUSDT, HOMEUSDT, SAHARAUSDT, BSBUSDT...
2026-04-07 02:48:21 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:22 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:22 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:24 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:24 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:24 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:24 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:25 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [REDUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [REDUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [REDUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:25 | DEBUG | bot | [REDUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:26 | DEBUG | bot | [REDUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:26 | DEBUG | bot | [REDUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:27 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:27 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:27 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:27 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:28 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:28 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:28 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:28 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:28 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:28 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:28 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:29 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:29 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:29 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:29 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:30 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:30 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:32 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:32 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:32 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:32 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:32 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:32 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:35 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:36 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:36 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:36 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:37 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:39 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:39 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:39 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:39 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:39 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:39 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:39 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:40 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:40 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:40 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:41 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:42 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:42 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:42 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:43 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:43 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:43 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:43 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:45 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:45 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:48 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:49 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:49 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:56 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:58 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:58 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:58 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:59 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:59 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:59 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:59 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:59 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:59 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:59 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:59 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:59 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:49:00 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:49:00 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:50:17 | INFO | bot | Скринер запущен. Получение символов Phemex...
2026-04-07 02:50:18 | INFO | bot | 🤖 <b>Скринер активен (WSS)</b>
Биржа: Phemex Futures
Символов: 518
Паттерн: Ручеек (depth=8)
2026-04-07 02:50:19 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:50:19 | INFO | bot | 🔄 Менеджер Фандингов запущен (Интервал: 60с). Binance API включен: True
2026-04-07 02:50:20 | INFO | bot | Подключение к WSS Phemex и подписка на стаканы...
2026-04-07 02:50:20 | DEBUG | bot | 🔄 Кэш Фандингов обновлен. Phemex: 539 монет, Binance: 714 монет.
2026-04-07 02:50:20 | DEBUG | bot | [DRIFTUSDT] Фандинг 1 триггер: rate=-3.0%, time_left=579.2s
2026-04-07 02:50:20 | INFO | bot | 💸 [Фандинг 1] Блок Phemex! Под запретом 1 монет: DRIFTUSDT...
2026-04-07 02:50:20 | DEBUG | bot | [AERGOUSDT] Фандинг 2 (Diff) триггер: diff=0.056434%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [AEROUSDT] Фандинг 2 (Diff) триггер: diff=0.058167%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [ARIAUSDT] Фандинг 2 (Diff) триггер: diff=0.082586%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [BNTUSDT] Фандинг 2 (Diff) триггер: diff=0.051285000000000004%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [BOBUSDT] Фандинг 2 (Diff) триггер: diff=0.146593%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [BSBUSDT] Фандинг 2 (Diff) триггер: diff=0.10188199999999999%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [DRIFTUSDT] Фандинг 2 (Diff) триггер: diff=2.093846%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [FETUSDT] Фандинг 2 (Diff) триггер: diff=0.060439%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [FFUSDT] Фандинг 2 (Diff) триггер: diff=0.055005000000000005%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [GUAUSDT] Фандинг 2 (Diff) триггер: diff=0.192601%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [HOMEUSDT] Фандинг 2 (Diff) триггер: diff=0.086937%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [ILVUSDT] Фандинг 2 (Diff) триггер: diff=0.05463799999999999%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [KATUSDT] Фандинг 2 (Diff) триггер: diff=0.10903099999999999%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [MOODENGUSDT] Фандинг 2 (Diff) триггер: diff=0.052521000000000005%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [NILUSDT] Фандинг 2 (Diff) триггер: diff=0.12954900000000003%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [PAYPUSDT] Фандинг 2 (Diff) триггер: diff=0.22147299999999998%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [REDUSDT] Фандинг 2 (Diff) триггер: diff=0.27221599999999996%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [REZUSDT] Фандинг 2 (Diff) триггер: diff=0.050206000000000035%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [RPLUSDT] Фандинг 2 (Diff) триггер: diff=0.05220999999999999%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [SAHARAUSDT] Фандинг 2 (Diff) триггер: diff=0.093347%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [SNXUSDT] Фандинг 2 (Diff) триггер: diff=0.065361%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [SUPERUSDT] Фандинг 2 (Diff) триггер: diff=0.10662599999999994%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [TRUUSDT] Фандинг 2 (Diff) триггер: diff=0.073628%, min_time_left=579.2s
2026-04-07 02:50:20 | DEBUG | bot | [ZETAUSDT] Фандинг 2 (Diff) триггер: diff=0.067424%, min_time_left=579.2s
2026-04-07 02:50:20 | INFO | bot | ⚖️ [Фандинг 2] Diff-Блок! Под запретом 24 монет: BSBUSDT, FETUSDT, BNTUSDT, BOBUSDT, DRIFTUSDT...
2026-04-07 02:50:27 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:50:29 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:50:29 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:50:34 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:50:34 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:50:34 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:50:36 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:50:38 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:50:38 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:50:38 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:50:40 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:50:40 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:50:42 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:50:44 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:50:44 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:50:45 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:50:46 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:50:46 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:50:47 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:50:47 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:50:47 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:50:48 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:50:48 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:50:48 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:50:49 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:50:49 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:50:51 | DEBUG | bot | [STOUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:50:51 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
